nombre,cargo,company,twitter,imagen
Javier Padilla,Co-fundador,El Desmarque,https://twitter.com/elpady,http://pbs.twimg.com/profile_images/696974073390374913/b7d7zXS8.jpg
José A. Gª Avilés,Profesor Titular ,UMH,https://twitter.com/jagaraviles,http://pbs.twimg.com/profile_images/488615889659371520/h3O9KxcS.jpeg
Pau Llop,Consultor de Innovación,Ayuntamiento de Rivas,https://twitter.com/paullop,http://pbs.twimg.com/profile_images/616181001912348672/rgVlBL_R.jpg
Antonio Delgado,Periodista de datos,El Español,https://twitter.com/adelgado,http://pbs.twimg.com/profile_images/1783118571/adelgado2011.jpg
Juanlu Sánchez,Subdirector,eldiario.es,https://twitter.com/juanlusanchez,http://pbs.twimg.com/profile_images/689003579546439680/bWvzd1-9.jpg
Irene Gómez Peña,Desarollo de audiencias,El Confidencial,https://twitter.com/IreneGomezPena,https://pbs.twimg.com/profile_images/565198611407835138/nL08Clp4_400x400.jpeg
José Luis Rojas,Profesor Doctor,Universidad de Sevilla,https://twitter.com/rojastorrijos,http://pbs.twimg.com/profile_images/672758201977303040/whFOEfFh.jpg
Pere Rusiñol,Co-fundador,Alternativas Económicas,https://twitter.com/pererusi,https://dl.dropboxusercontent.com/u/3578704/shots/pere.jpg
Mari Luz Congosto,Profesora Doctora,UC3,https://twitter.com/congosto,https://dl.dropboxusercontent.com/u/3578704/shots/mariluz.jpg
Eva Belmonte,Periodista,Fundación Civio,https://twitter.com/evabelmonte,http://pbs.twimg.com/profile_images/562655925190668288/s1BO8XKe.jpeg
Belén Torregrosa,Profesora Creatividad,Universidad de Navarra,https://twitter.com/belentorregrosa,http://pbs.twimg.com/profile_images/514806659445972992/2dPV14F-.jpeg
Miriam Hernanz,Directora,RTVE Lab,https://twitter.com/miriamhernanz,http://pbs.twimg.com/profile_images/581415819512537088/2AbSR1lP.jpg
Pau Llop,Consultor de Innovación,Ayuntamiento de Rivas,https://twitter.com/paullop,http://pbs.twimg.com/profile_images/616181001912348672/rgVlBL_R.jpg
Juanlu Sánchez,Subdirector,eldiario.es,https://twitter.com/juanlusanchez,http://pbs.twimg.com/profile_images/689003579546439680/bWvzd1-9.jpg
José Manuel Rodríguez,Editor de Medios Sociales,El Confidencial,https://twitter.com/josemanuelrodos,https://dl.dropboxusercontent.com/u/3578704/shots/rodos.jpg
Javier Andrés,Director de Márketing,Atresmedia,https://twitter.com/jandresatres,https://pbs.twimg.com/profile_images/378800000414429600/d6688db37d3734cf249a92d711184d93_400x400.jpeg
Pepe Cerezo,Consultor de Innovación,Évoca,https://twitter.com/PepeCerezo,https://pbs.twimg.com/profile_images/607652399025659904/oARVJUoo_400x400.jpg
Daniel M. Guerrero,Desarrollo de producto,El Confidencial,https://twitter.com/DanielPublico,https://pbs.twimg.com/profile_images/680517733776289792/h9h1MytY_400x400.jpg
Matthiew Bennett,Fundador,The Spain Report,https://twitter.com/matthewbennett,http://pbs.twimg.com/profile_images/598223328248213506/h3L1fRM1.jpg
José Manuel Noguera,Profesor Titular,UCAM,https://twitter.com/jmnoguera,http://pbs.twimg.com/profile_images/344513261569264033/ba83065dc0ab0f1b4dbb1e42690d5a2b.jpeg
Andreu Casero,Profesor Titular ,UJI,https://twitter.com/mipumh,https://dl.dropboxusercontent.com/u/3578704/shots/acasero.jpg
Alejandro Laso,Director de Innovación,El Confidencial,https://twitter.com/alejandrolaso,http://pbs.twimg.com/profile_images/933065993/Laso__Alejandro.jpg
José L. González,Profesor Titular ,UMH,https://twitter.com/eurogaceta,http://pbs.twimg.com/profile_images/506867265224974336/IF3bPlbA.jpeg
José M. Gómez Gras,Profesor Titular ,UMH,http://www.twitter.com/gomezgras,https://pbs.twimg.com/profile_images/1993896420/FotoCongresoEcValencianaC_maraTwitter2.JPG
Guillermo López,Profesor Titular ,Universidad de Valencia,https://twitter.com/GuillermoLPD,http://pbs.twimg.com/profile_images/2807192202/dc73bf19a2ea2c0437f96d139a2be5e1.jpeg
Gabriel Cuesta,Consultor en movilidad,Autónomo,https://twitter.com/gabicuesta,http://pbs.twimg.com/profile_images/687303341249015808/EDn9GEoM.jpg
Jorge Barón,Consultor de social marketing,Autónomo,https://twitter.com/jbaron10,http://pbs.twimg.com/profile_images/724397551/foto3.jpg
José Manuel Lucas,Desarrollador web,Autónomo,https://twitter.com/jmlweb,http://pbs.twimg.com/profile_images/677535316232839172/pOvHY36h.jpg
